Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18584855,Heartless,Marissa Meyer,"Meyer, Marissa",,1250044650,9781250044655,0,4.09,Feiwel & Friends,Hardcover,453,2016,2016,,2021/08/20,,,read,,,,1,0
18692431,"Everything, Everything",Nicola Yoon,"Yoon, Nicola",David  Yoon,553496646,9780553496642,0,3.96,Delacorte Books for Young Readers,Hardcover,312,2015,2015,,2021/08/20,,,read,,,,1,0
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,385755880,9780385755887,5,4.11,Knopf,Hardcover,388,2015,2015,,2021/08/20,,,read,,,,1,0
8235178,"Across the Universe (Across the Universe, #1)",Beth Revis,"Revis, Beth",,1595143971,9781595143976,0,3.77,Razorbill,Hardcover,399,2011,2011,,2021/08/20,,,read,,,,1,0
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,62498533,9780062498533,0,4.45,Clarion Books,Hardcover,454,2017,2017,,2021/08/20,,,read,,,,1,0
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,385741278,9780385741279,4,3.65,Delacorte Press,Paperback,320,2018,2014,,2021/08/20,,,read,,,,1,0
10576365,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,"Bracken, Alexandra",,1423157370,9781423157373,0,4.15,Disney Hyperion,Hardcover,488,2012,2012,,2021/08/20,,,read,,,,1,0
213753,"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer,"Pfeffer, Susan Beth",,,,4,3.89,HMH Books for Young Readers,Paperback,337,2006,2006,,2021/08/20,,,read,,,,1,0
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,62310631,9780062310637,0,3.98,HarperTeen,Hardcover,388,2015,2015,,2021/08/20,,,read,,,,1,0
16131489,"The Last Star (The 5th Wave, #3)",Rick Yancey,"Yancey, Rick",,399162437,9780399162435,0,3.61,G.P. Putnam's Sons Books for Young Readers,Hardcover,338,2016,2016,,2021/08/20,,,read,,,,1,0
